,title,company,salary,description
0,Serveur (e) en restauration H/F 20 /semaine,italia trattoria,"De 11,00 € à 11,50 € de l’heure","Les lundi midi et soir , mardi midi , samedi midi et soir.
Type d'emploi : Temps partiel, CDI."
1,NOUNOU / BABY-SITTER / JOB ÉTUDIANT / GARDE D’ENFANT (RENNES...,MYKIDS!,"À partir de 11,93 € de l’heure","Un planning adapté en fonction de vos disponibilités.
Des familles proches de votre domicile.
En centre-ville ou dans la proche agglomération, myKids! trouvera…"
2,Job étudiant - Missions Distribution Flyers - Freelance,Oppizi,12 € de l’heure,"Type d'emploi : Temps partiel, Indépendant / freelance."
3,Serveur H/F,Staffmatch Rennes,,"Assurer la mise en place du service en salle ;
Accueillir et accompagner le client de son arrivée à son départ ;"
4,Equipier H/F,McDonald's,,Renseignez-vous auprès du restaurant concerné pour en savoir plus.
5,CDI ETUDIANT HOTE(SSE) de CAISSE H/F,SUPER U L'hermitage,"De 11,07 € à 11,50 € de l’heure",Effectuer les opérations d’enregistrement et d’encaissement clients en respectant les procédures.
6,Préparateur de commandes - ÉTUDIANT- H/F,Gojob,De 1 695 € à 2 051 € par mois,"Travail les Week-ends et toutes les vacances scolaire.
Être disponible une semaine complète pour l'entrée en formation."
7,"Babysitting pour 1 enfant, 3 ans",Kinougarde,"11,07 € de l’heure",Kinougarde vous propose des missions de sortie d'école ou de sortie de crèche qui correspondent à vos disponibilités.
8,"Babysitting pour 2 enfants, 3 ans, 7 ans",Kinougarde,"11,07 € de l’heure",Kinougarde vous propose des missions de sortie d'école ou de sortie de crèche qui correspondent à vos disponibilités.
9,CONSEILLER DE MODE H/F - RENNES CLEUNAY,Promod,,"Tu contribues à un merchandising séduisant (environnement du magasin et présentation des produits).
Tu assures le traitement des colis avec rapidité et…"
10,CONSEILLER DE VENTE H/F CDD ETUDIANT 15h Hebdo,ERAM,,"Accueillir et conseiller nos clients en garantissant l'image de notre enseigne,.
Participer à la mise en place d'opérations commerciales et au merchandising,."
11,Vendeur/euse,La Mie Câline,,"Le goût de la gourmandise, de l'aventure humaine et du travail bien fait que nous partageons chaque année avec 40 millions d'adeptes dans plus de 240 points de…"
